participant_n,IAT_condition,SCIAT_D1
177,Insects-Chinese IAT,-0.297
178,Insects-Chinese IAT,0.113
179,Insects-Chinese IAT,-0.264
180,Insects-Chinese IAT,0.237
181,Flowers-Chinese IAT,0.373
182,Flowers-Chinese IAT,-0.122
183,Flowers-Chinese IAT,-0.45
184,Flowers-Chinese IAT,0.424
185,Flowers-Chinese IAT,-0.507
186,Flowers-Chinese IAT,0.163
187,Insects-Chinese IAT,-0.038
188,Flowers-Chinese IAT,-0.329
189,Flowers-Chinese IAT,-0.441
190,Insects-Chinese IAT,0.288
191,Flowers-Chinese IAT,0.261
192,Insects-Chinese IAT,0.202
193,Flowers-Chinese IAT,0.149
194,Insects-Chinese IAT,-0.094
195,Flowers-Chinese IAT,0.292
196,Flowers-Chinese IAT,0.075
197,Flowers-Chinese IAT,-0.229
198,Insects-Chinese IAT,-0.101
199,Flowers-Chinese IAT,-0.215
200,Insects-Chinese IAT,0.072
201,Insects-Chinese IAT,-0.022
202,Flowers-Chinese IAT,-0.195
